name;lat;long;count;duration;q10_max;q50_max;q90_max;q10_min;q50_min;q90_min
AEM00041194;25,333;55,517;3;10;44,6;46,4;47,1;41,402;41,975;42,743
AEM00041217;25,255;55,364;2,6;14;45,5;47,3;48,54;43,0014;43,631;44,4958
AFM00040938;24,433;54,651;1;94;37,316;37,316;37,316;36,031;36,031;36,031
AFM00040948;34,21;62,228;1,4;72;33,283;36;38,84;32,299;32,894;34,3042
AG000060390;34,566;69,212;5;8;36,4;40,5;43,6;31,204;32,698;33,979
AG000060590;36,7167;3,25;2,4;24;43,95;47,25;47,5;40,8269;42,1045;42,7662
AG000060611;30,5667;2,8667;4,4;9;40,94;43,8;45,9;39,1697;39,952;41,3747
AGE00147708;28,05;9,6331;2,2;16;36,0048;43;44,64;34,5894;36,009;36,9214
AGE00147716;36,72;4,05;2,4;13,5;31,0454;34,6;36;28,0151;28,7425;30,7047
AGE00147718;35,1;-1,85;2,4;29,5;41,2;46,45;47,2;38,5169;40,1975;41,1354
AGE00147719;34,85;5,72;1,6;61,5;38,211;42,8;43,5;36,4332;38,008;39,0694
AGM00060355;33,7997;2,89;4,6;10;33,84;37,1;41,8;28,8932;29,683;31,8816
AGM00060360;36,933;6,95;4,6;11;39,86;43;44,4;30,7186;31,914;34,5398
AGM00060419;36,822;7,809;3,2;16;37,02;41,1;42,45;33,0893;34,8755;35,9104
AGM00060425;36,276;6,62;3,4;19;40,2;44;46,5;35,9402;37,51;38,8364
AGM00060430;36,213;1,332;3,6;15,5;38,71;40,05;44,45;32,7158;34,1245;35,9731
AGM00060445;36,3;2,233;3,4;18;34,42;37,8;39,2;31,4868;33,535;34,5244
AGM00060475;36,178;5,324;3,6;14;38,49;40,5;41,5;33,8587;35,1445;36,3769
AGM00060490;35,432;8,121;3,6;9;35,53;39,2;40,41;31,0814;31,752;33,0372
AGM00060507;35,624;-0,621;2,2;15;36,705;36,775;44,02;33,6266;36,437;37,0242
AGM00060555;35,208;0,147;3;22;44,2;47,4;48,8;39,574;41,219;42,248
AGM00060559;33,068;6,089;2,4;26;43,91;47,6;48,2;39,9777;40,9915;41,916
AGM00060566;33,511;6,777;2,4;27,5;43,16;45,4;46,06;39,3141;40,3995;40,9447
AGM00060571;32,384;3,794;2;39,5;38,6;43,3;44;37,2285;39,4575;40,1515
AGM00060580;31,646;-2,27;2,8;9;41,8034;48,5;49;40,3487;42,6225;43,1447
AGM00060581;31,917;5,413;2,4;23,5;42,81;48,4;49,4;40,8473;42,6225;43,7959
AGM00060607;31,673;6,14;3;11;42,3;48,2;48,7;41,672;44,124;44,999
AGM00060620;29,237;0,276;2,8;9;45,98;48,6;49,4;43,8845;45,5415;46,0348
AGM00060640;27,838;-0,186;3,4;13;45,08;45,6;47;41,498;41,891;43,0502
AGM00060656;26,724;8,623;3,6;18,5;44,1;46;47,7;41,7492;42,8205;43,7401
AGM00060670;27,7;-8,167;5,6;7,5;40,5;40,9;41,38;38,0306;38,3045;39,0715
AJ000037575;24,293;9,452;3;11;29;34;38,4;27,486;29,538;32
AJ000037661;41,55;46,667;1;92;30,973;30,973;30,973;29,694;29,694;29,694
AJ000037675;41,217;47,167;1;92;28,685;28,685;28,685;27,735;27,735;27,735
AJ000037735;41,367;48,517;2,6;13;29,62;34,5;38,98;28,862;30,355;31,712
AJ000037740;40,7167;46,4167;1,4;92;26,55;29,762;29,762;26,55;28,614;28,662
