id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
1,AEM00041194,25.333,55.517,3,10,44.6,46.4,47.1,41.402,41.975,42.743
2,AEM00041217,25.255,55.364,2.6,14,45.5,47.3,48.54,430.014,43.631,444.958
3,AFM00040938,24.433,54.651,1,94,37.316,37.316,37.316,36.031,36.031,36.031
4,AFM00040948,34.21,62.228,1.4,72,33.283,36,38.84,32.299,32.894,343.042
5,AG000060390,34.566,69.212,5,8,36.4,40.5,43.6,31.204,32.698,33.979
6,AG000060590,367.167,3.25,2.4,24,43.95,47.25,47.5,408.269,421.045,427.662
7,AG000060611,305.667,28.667,4.4,9,40.94,43.8,45.9,391.697,39.952,413.747
8,AGE00147708,28.05,96.331,2.2,16,360.048,43,44.64,345.894,36.009,369.214
9,AGE00147716,36.72,4.05,2.4,13.5,310.454,34.6,36,280.151,287.425,307.047
10,AGE00147718,35.1,-1.85,2.4,29.5,41.2,46.45,47.2,385.169,401.975,411.354
11,AGE00147719,34.85,5.72,1.6,61.5,38.211,42.8,43.5,364.332,38.008,390.694
12,AGM00060355,337.997,2.89,4.6,10,33.84,37.1,41.8,288.932,29.683,318.816
13,AGM00060360,36.933,6.95,4.6,11,39.86,43,44.4,307.186,31.914,345.398
14,AGM00060419,36.822,7.809,3.2,16,37.02,41.1,42.45,330.893,348.755,359.104
15,AGM00060425,36.276,6.62,3.4,19,40.2,44,46.5,359.402,37.51,388.364
16,AGM00060430,36.213,1.332,3.6,15.5,38.71,40.05,44.45,327.158,341.245,359.731
17,AGM00060445,36.3,2.233,3.4,18,34.42,37.8,39.2,314.868,33.535,345.244
18,AGM00060475,36.178,5.324,3.6,14,38.49,40.5,41.5,338.587,351.445,363.769
19,AGM00060490,35.432,8.121,3.6,9,35.53,39.2,40.41,310.814,31.752,330.372
20,AGM00060507,35.624,-0.621,2.2,15,36.705,36.775,44.02,336.266,36.437,370.242
21,AGM00060555,35.208,0.147,3,22,44.2,47.4,48.8,39.574,41.219,42.248
22,AGM00060559,33.068,6.089,2.4,26,43.91,47.6,48.2,399.777,409.915,41.916
23,AGM00060566,33.511,6.777,2.4,27.5,43.16,45.4,46.06,393.141,403.995,409.447
24,AGM00060571,32.384,3.794,2,39.5,38.6,43.3,44,372.285,394.575,401.515
25,AGM00060580,31.646,-2.27,2.8,9,418.034,48.5,49,403.487,426.225,431.447
26,AGM00060581,31.917,5.413,2.4,23.5,42.81,48.4,49.4,408.473,426.225,437.959
27,AGM00060607,31.673,6.14,3,11,42.3,48.2,48.7,41.672,44.124,44.999
28,AGM00060620,29.237,0.276,2.8,9,45.98,48.6,49.4,438.845,455.415,460.348
29,AGM00060640,27.838,-0.186,3.4,13,45.08,45.6,47,41.498,41.891,430.502
30,AGM00060656,26.724,8.623,3.6,18.5,44.1,46,47.7,417.492,428.205,437.401
31,AGM00060670,27.7,-8.167,5.6,7.5,40.5,40.9,41.38,380.306,383.045,390.715
32,AJ000037575,24.293,9.452,3,11,29,34,38.4,27.486,29.538,32
33,AJ000037661,41.55,46.667,1,92,30.973,30.973,30.973,29.694,29.694,29.694
34,AJ000037675,41.217,47.167,1,92,28.685,28.685,28.685,27.735,27.735,27.735
35,AJ000037735,41.367,48.517,2.6,13,29.62,34.5,38.98,28.862,30.355,31.712
36,AJ000037740,407.167,464.167,1.4,92,26.55,29.762,29.762,26.55,28.614,28.662
37,AJ000037747,40.983,47.867,1,92,35.54,35.54,35.54,32.957,32.957,32.957
38,AJ000037749,40.617,47.15,1,92,34.412,34.412,34.412,33.268,33.268,33.268
39,AJ000037756,40.65,47.75,1,64,30.474,30.474,30.474,30.091,30.091,30.091
40,AJ000037905,40.533,48.933,1,92,33.66,33.66,33.66,32.718,32.718,32.718
41,AJ000037923,39.767,47.75,1,92,32.215,32.215,32.215,31.314,31.314,31.314
42,AJ000037925,39.967,49.4,1,92,32.124,32.124,32.124,30.964,30.964,30.964
43,AJ000037985,39.4,49.25,2,38.5,29.1,34.1,35.75,27.288,29.397,306.635
44,AJ000037989,38.75,48.817,1.2,92,29.944,29.944,38.74,283.336,28.735,299.536
45,AM000037682,38.5,48.9,1.6,43.5,23.6,26.479,28.51,217.258,232.855,239.677
46,AM000037699,40.783,43.833,1,64,25.908,25.908,25.908,25.17,25.17,25.17
47,AM000037704,40.533,44.383,1,64,25.437,25.437,25.437,25.117,25.117,25.117
48,AM000037711,40.817,44.5,1,92,28.88,28.88,28.88,27.593,27.593,27.593
49,AM000037787,40.867,45.15,1,64,34.123,34.123,34.123,32.579,33.869,33.869
50,AM000037792,40.133,44.05,1,64,27.342,27.342,27.342,26.224,26.224,26.224
51,AM000037801,40.483,44.75,2.6,16,24.5,27.5,34.1,22.165,23.507,249.812
52,AM000037897,40.35,451.331,1,92,25.825,25.825,25.825,24.663,24.663,24.663
53,AM000037959,39.533,46.017,1,92,30.906,30.906,30.906,29.398,29.398,29.398
54,AO000066160,39.2,46.433,2.8,5,312.387,33.4,34.5,306.872,31.241,312.965
55,AO000066390,-8.85,13.233,1,63,28.345,28.345,28.345,28.198,28.198,28.198
56,AO000066422,-14.933,13.567,1,121,28.599,28.599,28.599,27.778,27.78,27.78
57,AQW00061705,-15.2,12.15,3.6,4,31.85,32.8,34.4,311.084,32.193,323.578
58,AR000000011,-143.306,-1.707.136,6.2,5,35.64,36.6,39.5,332.236,33.758,344.316
59,AR000087007,-30.267,-57.65,1.2,8,21.196,24.75,25.9,21.09,223.045,225.932
60,AR000087129,-22.1,-65.6,2.6,6,39.68,41,44.36,351.964,35.818,38.735
61,AR000087155,-27.767,-64.3,2.2,7,35.96,37.2,39.4,332.638,34.331,355.148
62,AR000087217,-27.45,-59.05,5.4,6,40.24,41.4,44.5,361.304,36.611,379.308
63,AR000087257,-29.383,-66.817,2.8,6,36.29,37,40,327.875,33.596,346.603
64,AR000087270,-29.883,-61.95,3,8,34.8,37.8,39.5,32.292,33.344,34.396
65,AR000087344,-29.183,-59.7,3.4,6,33.5,35.8,40.32,293.564,31.579,32.78
66,AR000087374,-31.317,-64.217,4.2,8,35.24,37,38.16,31.654,32.167,32.832
67,AR000087418,-31.783,-60.483,5.2,6,37.05,38.3,44.4,321.805,33.447,349.458
68,AR000087534,-32.833,-68.783,5,7,33.8,37.3,38.8,29.985,32.001,32.981
69,AR000087623,-34.133,-63.367,5.4,7,34.7,37.2,40.2,300.254,31.961,34.117
70,AR000087692,-36.567,-64.266,4.6,6,32.12,37.2,38.3,254.616,28.164,301.436
71,AR000087715,-37.933,-57.583,6.2,6,36.6,37.5,39.6,309.454,32.623,33.598
72,AR000087803,-38.95,-68.133,4.4,6,25.2,29.2,33.4,222.865,23.996,255.869
73,AR000087828,-42.933,-71.15,6.6,6,34.9,37.5,40.3,294.598,29.9,310.156
74,AR000087860,-43.2,-65.266,6,6.5,30.3,35.2,37.5,263.035,268.595,285.165
75,AR000087925,-45.783,-67.5,5.4,6,26,27.6,31.8,198.678,20.616,223.454
76,AR000870470,-51.617,-69.283,1.4,5,30.88,32.5,37,298.408,30.4,33.778
77,AR000875850,-24.85,-65.483,4.6,8,33.48,36.8,37.6,301.724,30.76,316.694
78,AR000877500,-34.583,-58.483,5.6,6,36.2,38,41.5,314.382,32.533,331.678
79,ARM00087016,-38.733,-62.167,2.6,21,341.948,35,38,33.819,33.925,34.833
80,ARM00087178,-23.153,-64.329,5.4,4,35.9,37.7,38.5,34.022,34.573,355.036
81,ARM00087436,-27.386,-55.971,8.8,5,34.45,36.7,39,31.479,32.601,333.866
82,ARM00087480,-33.273,-66.356,6.8,5,34.94,36.7,39.3,319.946,325.045,329.806
83,ARM00087497,-32.904,-60.785,7,5,35.8,36.9,39,32.185,32.719,33.492
84,ARM00087506,-33.01,-58.613,7.2,5.5,32.51,35,35.9,289.529,30.039,308.999
85,ARM00087548,-35.494,-69.574,7.4,5,33.9,36.5,37.6,305.528,31.535,320.682
86,ARM00087576,-34.546,-60.931,7.4,5,35.02,36.5,39.3,309.584,31.442,322.074
87,ARM00087765,-34.822,-58.536,6.4,5,28.5,31.3,33.3,231.991,240.925,261.587
88,ARM00087774,-41.151,-71.158,8.4,6,30.7,32.75,34.95,26.617,274.645,283.024
89,ARM00087784,-41.25,-68.733,8,5,36.9,38.6,39,310.585,31.796,32.43
90,ARM00087852,-40.783,-65.1,7.4,5,24,25.7,32,21.138,22.329,235.842
91,ARM00087938,-46.517,-71.017,6,4,16.95,20.4,27.5,14.739,15.344,16.535
92,ASM00094299,-54.843,-68.296,5.4,8,30.8,33.4,35.2,30.161,31.057,323.902
93,ASM00094995,-16.288,149.965,4.6,8,26.12,27.4,28.36,246.172,25.083,25.651
94,ASN00002012,-31.542,159.079,4.4,6.5,39.02,41.1,44.1,376.656,390.475,399.441
95,ASN00003003,-182.292,1.276.636,1.2,7,35.4,37.5,42.33,335.971,339.765,360.563
96,ASN00004032,-179.475,1.222.353,2.6,7,42.38,44.8,46.3,382.928,39.813,40.291
97,ASN00005007,-203.725,1.186.317,3.8,7,41.3,43.4,48.2,370.542,38.776,41.274
98,ASN00005026,-222.406,1.140.967,4.4,7.5,41.63,45,45.1,382.783,40.59,416.395
99,ASN00006011,-222.425,1.183.358,3.8,8,36.96,39.6,44.2,319.972,33.529,353.912
100,ASN00007045,-248.878,113.67,4.4,9,42.2,43.2,44.5,36.237,390.945,403.093
101,ASN00007176,-266.136,1.185.372,5.2,7.5,41,43.5,44,380.819,399.715,40.68
102,ASN00008051,-234.169,1.197.989,3.2,7.5,38.24,41.3,43.3,326.778,34.613,364.808
103,ASN00009021,-287.953,1.146.975,4.6,8,37.48,41.1,43.32,326.202,33.267,345.456
104,ASN00009518,-319.275,1.159.764,6,5,25,29,37,230.355,23.688,251.795
105,ASN00009741,-343.728,1.151.358,3.4,6,28.7,34.8,41.14,254.808,25.933,280.958
106,ASN00009789,-349.414,1.178.022,3.6,7,34.71,41,44,264.383,287.405,300.871
107,ASN00011003,-33.83,1.218.925,3.6,6,35.86,43.1,43.4,288.684,293.055,307.727
108,ASN00012038,-316.797,1.288.792,4.6,5,37,41.4,45.8,31.982,34.32,360.614
109,ASN00013017,-307.847,1.214.533,4.8,6,39.71,41.8,43.4,35.794,373.755,38.11
110,ASN00014040,-250.341,128.301,3.4,6,34.8,36.1,36.52,337.464,34.043,347.808
111,ASN00014508,-124.227,1.308.844,3.8,7,33.7,35.1,36.46,32.444,33.374,338.484
112,ASN00014932,-122.741,1.368.203,3.8,7,38.4,40.3,41,36.638,37.517,390.824
113,ASN00015135,-145.229,1.323.826,3.2,9,40.02,40.9,42.3,369.688,377.975,391.547
114,ASN00015548,-196.423,1.341.833,1,8,38.706,41.8,46.3,38.617,40.983,41.621
115,ASN00015590,-201.883,1.300.161,3.6,8.5,40.86,42.9,45,371.167,377.655,397.559
116,ASN00016001,-237.951,133.889,3.8,10,43.16,44.9,46.3,357.962,37.09,388.126
117,ASN00017043,-311.558,1.368.054,4,9,43.45,46.9,47.15,38.059,40.391,419.955
118,ASN00018011,-275.553,1.354.456,3.2,8.5,43,44.2,47.8,311.044,323.755,339.114
119,ASN00023031,-321.267,1.336.725,4.2,9,37.9,41.8,43.8,286.928,31.304,337.876
120,ASN00026020,-349.697,1.386.331,3.8,7,35.28,39.6,41.6,263.654,28.951,303.386
121,ASN00026026,-378.333,1.407.833,4.4,6,29.3,33.8,35.7,223.392,248.845,260.789
122,ASN00029004,-371.628,139.756,2.8,5,35.373,38.55,40.3,35.373,360.395,368.403
123,ASN00029126,-177.425,1.395.475,1.8,6,39.9,41,43.6,375.938,38.939,407.546
124,ASN00030045,-207.361,1.394.817,3,8,40.1,42.4,43,38.18,39.28,40.164
125,ASN00031010,-207.289,1.431.425,5,8,32.8,34.5,37.4,31.361,31.855,32.604
126,ASN00032040,-169.333,1.457.833,5.2,7,34.3,35.3,38.17,318.413,32.782,339.199
127,ASN00033119,-192.483,1.467.661,3.6,5,33.1,34.5,35.49,306.845,318.615,328.576
128,ASN00036031,-211.172,1.492.169,3.6,6.5,40.8,41.55,45.2,375.274,39.687,400.892
129,ASN00039083,-234.372,1.442.769,3.6,8,36.5,39.75,40.6,340.158,34.704,351.405
130,ASN00039123,-233.753,1.504.775,4.6,6,33.4,35.9,37.8,314.818,32.569,335.532
131,ASN00040004,-238.553,1.512.628,3.4,7,36.8,40.7,41.6,322.208,33.377,349.354
132,ASN00040223,-276.297,1.527.111,5,7,31.2,36,40.2,29.157,29.86,30.709
133,ASN00044021,-274.178,1.531.142,3.8,8,38.6,41.9,43.1,354.864,36.8,387.654
134,ASN00046037,-264.139,1.462.558,4.2,10,41.4,45.3,47.2,36.766,39.504,409.498
135,ASN00047007,-294.345,1.420.098,3.4,11,42.04,44.2,46.8,339.692,36.087,38.232
136,ASN00048027,-319.759,1.414.676,3.8,12,40.5,45.7,47,338.738,37.267,390.096
137,ASN00056018,-31.484,1.458.294,4.8,7,31.7,36.7,37.84,29.316,30.953,324.141
138,ASN00058012,-297.752,1.510.819,5.2,7,29.1,32.6,42.5,267.518,275.095,295.791
139,ASN00059040,-294.333,1.533.633,4.2,6,30.9,31,41.44,27.184,27.75,311.578
140,ASN00061078,-303.107,1.531.187,4.2,5,37.3,40.4,42.44,295.602,31.41,32.432
141,ASN00063005,-327.932,1.518.359,4.6,8,33.4,37.3,39,283.392,30.327,32.502
142,ASN00066037,-334.289,1.495.559,4.2,7,34.12,37.7,41.1,28.016,28.338,300.436
143,ASN00067033,-339.465,1.511.731,4.4,7.5,37.54,41,42.85,304.297,32.021,32.734
144,ASN00068072,-336.022,1.507.794,3.6,5,33.41,39.2,45.1,284.041,28.95,294.557
145,ASN00069018,-349.469,1.505.353,3.6,5.5,29.57,38.5,42.06,24.765,256.985,271.591
146,ASN00070015,-359.093,1.501.532,4.8,8,34.4,37.6,39.8,28.379,29.538,313.438
147,ASN00072091,-35.3,149.1,4,7.5,25.2,27.85,39.6,202.465,21.419,249.045
148,ASN00072150,-359.383,1.483.842,4,10,37.8,41.65,43.95,31.497,34.124,348.125
149,ASN00073054,-351.583,1.474.573,3.8,12,39,42.6,44.36,326.512,34.753,360.616
150,ASN00076031,-339.262,1.472.418,4.4,8,40.78,44.5,46.6,335.201,34.952,372.653
151,ASN00078015,-342.358,1.420.867,2.8,21,31.119,353.095,45.6,30.214,308.795,347.374
152,ASN00085096,-363.092,1.416.486,4.6,6,27.54,35,39,211.582,22.417,235.742
153,ASN00085298,-391.297,1.464.244,4.4,6,30.84,38.1,42.5,254.005,280.805,290.138
154,ASN00086282,-381.072,1.471.317,3.6,5.5,33.43,40.4,43.73,265.749,28.843,30.079
155,ASN00087031,-376.655,1.448.321,4.6,6,36.8,41,45,269.726,28.357,294.272
156,ASN00090015,-378.565,1.447.566,4.4,5,30,35.5,39,22.03,238.335,257.631
157,ASN00091311,-388.556,1.435.128,4,6.5,26.55,30.25,34.9,22.836,24.784,25.546
158,ASN00092045,-415.492,1.472.144,7.4,5,24,26,33.8,216.526,22.543,233.236
159,ASN00094008,-409.928,1.483.467,4.4,5.5,28.2,33,37.2,229.063,24.621,253.521
160,ASN00094010,-428.339,1.475.033,4.2,6,24.52,29.5,32.3,190.984,20.82,214.668
161,AU000005010,-434.892,1.471.453,3.6,16,27.46,31.85,32.3,246.361,258.625,27.9
162,AU000005901,48.05,141.331,3.6,12.5,30.4,34.6,36.52,242.667,274.705,293.776
163,AU000006306,482.331,16.35,3.8,13,30.5,32.8,34.28,245.724,26.555,283.498
164,AU000011801,47.8,13,4.8,9,31.28,33.5,36.3,259.763,273.205,298.122
165,AU000015410,472.667,11.4,4.2,13,8.86,11.8,14.1,4.909,64.915,844.312
166,AU000016402,47.05,12.95,4.6,12,30.8,33.6,35.26,242.794,27.208,29.27
167,AUM00011155,470.831,15.45,5,7,21.2,23.5,24.8,16.123,16.516,18.264
168,AUM00011212,47.817,13.717,4.2,11,17.18,18.6,19.8,12.115,12.806,152.112
169,AUM00011231,46.6,13.667,4.6,11,30.14,32.8,35.56,23.967,27,285.502
170,AYM00088963,46.65,14.333,2.8,5,8.2,10.25,13.3,564.572,6.625,767.409
171,AYM00088968,-63.4,-56.983,0,NA,NA,NA,NA,NA,NA,NA
172,AYM00089022,-60.733,-44.733,4.8,9.5,0.8,2.5,10,-231.106,-18.606,-1.019.399
173,AYM00089034,-75.45,-26.217,4.6,8,4.5,5,6.76,0.312026,0.68618,125.366
